v8-version,6,7,288,49,-node.15,0
code-creation,Builtin,3,6847,0x3bfb56717820,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,6872,0x3bfb56717920,10108,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,6888,0x3bfb5671a0e0,2555,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,6903,0x3bfb5671ab20,40,KeyedLoadIC_Slow
code-creation,Builtin,3,6933,0x3bfb5671aba0,15840,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,6949,0x3bfb5671e9c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,6963,0x3bfb5671ea40,40,LoadGlobalIC_Slow
code-creation,Builtin,3,6977,0x3bfb5671eac0,203,LoadField
code-creation,Builtin,3,6990,0x3bfb5671ebe0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,7022,0x3bfb5671ec80,40,LoadIC_Slow
code-creation,Builtin,3,7036,0x3bfb5671ed00,16,LoadIC_StringLength
code-creation,Builtin,3,7050,0x3bfb5671ed60,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,7065,0x3bfb5671edc0,3048,LoadIC_Uninitialized
code-creation,Builtin,3,7079,0x3bfb5671fa00,44,StoreGlobalIC_Slow
code-creation,Builtin,3,7100,0x3bfb5671fa80,6712,StoreIC_Uninitialized
code-creation,Builtin,3,7115,0x3bfb56721500,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,7131,0x3bfb56721580,1072,EnqueueMicrotask
code-creation,Builtin,3,7145,0x3bfb56721a00,1432,RunMicrotasks
code-creation,Builtin,3,7160,0x3bfb56721fe0,2456,HasProperty
code-creation,Builtin,3,7174,0x3bfb567229c0,1036,DeleteProperty
code-creation,Builtin,3,7187,0x3bfb56722e20,25,Abort
code-creation,Builtin,3,7201,0x3bfb56722e80,40,AbortJS
code-creation,Builtin,3,7214,0x3bfb56722f00,15,EmptyFunction
code-creation,Builtin,3,7228,0x3bfb56722f60,15,Illegal
code-creation,Builtin,3,7241,0x3bfb56722fc0,15,StrictPoisonPillThrower
code-creation,Builtin,3,7255,0x3bfb56723020,15,UnsupportedThrower
