v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,5049,0x1b919f11cac0,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,5076,0x1b919f11cb20,3036,LoadIC_Uninitialized
code-creation,Builtin,3,5089,0x1b919f11d740,44,StoreGlobalIC_Slow
code-creation,Builtin,3,5105,0x1b919f11d7c0,6684,StoreIC_Uninitialized
code-creation,Builtin,3,5118,0x1b919f11f220,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,5131,0x1b919f11f2a0,1072,EnqueueMicrotask
code-creation,Builtin,3,5143,0x1b919f11f720,1432,RunMicrotasks
code-creation,Builtin,3,5155,0x1b919f11fd00,2452,HasProperty
code-creation,Builtin,3,5167,0x1b919f1206e0,1036,DeleteProperty
code-creation,Builtin,3,5179,0x1b919f120b40,25,Abort
code-creation,Builtin,3,5190,0x1b919f120ba0,40,AbortJS
code-creation,Builtin,3,5201,0x1b919f120c20,15,EmptyFunction
code-creation,Builtin,3,5213,0x1b919f120c80,15,Illegal
code-creation,Builtin,3,5224,0x1b919f120ce0,15,StrictPoisonPillThrower
code-creation,Builtin,3,5236,0x1b919f120d40,15,UnsupportedThrower
code-creation,Builtin,3,5248,0x1b919f120da0,21,ArrayConstructor
code-creation,Builtin,3,5260,0x1b919f120e00,9,InternalArrayConstructor
code-creation,Builtin,3,5272,0x1b919f120e60,15,ArrayConcat
code-creation,Builtin,3,5284,0x1b919f120ec0,948,ArrayIncludesSmiOrObject
code-creation,Builtin,3,5296,0x1b919f1212c0,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,5308,0x1b919f121380,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,5320,0x1b919f121480,868,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,5332,0x1b919f121840,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,5344,0x1b919f121900,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,5357,0x1b919f1219c0,15,ArrayPop
code-creation,Builtin,3,5368,0x1b919f121a20,15,ArrayPush
code-creation,Builtin,3,5379,0x1b919f121a80,15,ArrayShift
code-creation,Builtin,3,5391,0x1b919f121ae0,15,ArraySplice
code-creation,Builtin,3,5402,0x1b919f121b40,15,ArrayUnshift
code-creation,Builtin,3,5414,0x1b919f121ba0,1452,CloneFastJSArray
code-creation,Builtin,3,5427,0x1b919f1221a0,1478,ExtractFastJSArray
code-creation,Builtin,3,5439,0x1b919f1227c0,3044,ArrayEveryLoopContinuation
code-creation,Builtin,3,5452,0x1b919f123400,142,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,5465,0x1b919f1234e0,500,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,5478,0x1b919f123720,3036,ArraySomeLoopContinuation
code-creation,Builtin,3,5490,0x1b919f124340,142,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,5503,0x1b919f124420,496,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,5522,0x1b919f124660,5124,ArrayFilterLoopContinuation
code-creation,Builtin,3,5535,0x1b919f125ac0,142,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,5552,0x1b919f125ba0,774,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,5565,0x1b919f125f00,2928,ArrayMapLoopContinuation
code-creation,Builtin,3,5578,0x1b919f126ac0,142,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,5590,0x1b919f126ba0,384,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,5604,0x1b919f126d60,2960,ArrayReduceLoopContinuation
code-creation,Builtin,3,5616,0x1b919f127940,138,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,5630,0x1b919f127a20,142,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,5643,0x1b919f127b00,142,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,5656,0x1b919f127be0,2952,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,5669,0x1b919f1287c0,154,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,5682,0x1b919f1288a0,142,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,5696,0x1b919f128980,142,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,5709,0x1b919f128a60,604,ArrayFindLoopContinuation
code-creation,Builtin,3,5721,0x1b919f128d00,142,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,5734,0x1b919f128de0,142,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,5747,0x1b919f128ec0,305,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,5761,0x1b919f129040,596,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,5773,0x1b919f1292e0,150,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,5801,0x1b919f1293c0,150,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,5817,0x1b919f1294a0,309,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,5833,0x1b919f129620,4048,FlattenIntoArray
code-creation,Builtin,3,5849,0x1b919f12a640,4096,FlatMapIntoArray
code-creation,Builtin,3,5861,0x1b919f12b680,15,ArrayBufferConstructor
code-creation,Builtin,3,5874,0x1b919f12b6e0,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,5887,0x1b919f12b740,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,5899,0x1b919f12b7a0,15,ArrayBufferIsView
code-creation,Builtin,3,5911,0x1b919f12b800,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,5924,0x1b919f12b860,15,BigIntConstructor
code-creation,Builtin,3,5935,0x1b919f12b8c0,15,BigIntAsUintN
code-creation,Builtin,3,5947,0x1b919f12b920,15,BigIntAsIntN
code-creation,Builtin,3,5958,0x1b919f12b980,15,BigIntPrototypeToLocaleString
code-creation,Builtin,3,5971,0x1b919f12b9e0,15,BigIntPrototypeToString
code-creation,Builtin,3,5983,0x1b919f12ba40,15,BigIntPrototypeValueOf
code-creation,Builtin,3,5995,0x1b919f12baa0,15,BooleanConstructor
code-creation,Builtin,3,6007,0x1b919f12bb00,15,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,6020,0x1b919f12bb60,15,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,6032,0x1b919f12bbc0,15,CallSitePrototypeGetFileName
code-creation,Builtin,3,6044,0x1b919f12bc20,15,CallSitePrototypeGetFunction
code-creation,Builtin,3,6057,0x1b919f12bc80,15,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,6069,0x1b919f12bce0,15,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,6082,0x1b919f12bd40,15,CallSitePrototypeGetMethodName
code-creation,Builtin,3,6094,0x1b919f12bda0,15,CallSitePrototypeGetPosition
code-creation,Builtin,3,6107,0x1b919f12be00,15,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,6120,0x1b919f12be60,15,CallSitePrototypeGetThis
code-creation,Builtin,3,6132,0x1b919f12bec0,15,CallSitePrototypeGetTypeName
code-creation,Builtin,3,6144,0x1b919f12bf20,15,CallSitePrototypeIsConstructor
code-creation,Builtin,3,6157,0x1b919f12bf80,15,CallSitePrototypeIsEval
code-creation,Builtin,3,6169,0x1b919f12bfe0,15,CallSitePrototypeIsNative
code-creation,Builtin,3,6181,0x1b919f12c040,15,CallSitePrototypeIsToplevel
code-creation,Builtin,3,6194,0x1b919f12c0a0,15,CallSitePrototypeToString
code-creation,Builtin,3,6206,0x1b919f12c100,15,ConsoleDebug
code-creation,Builtin,3,6217,0x1b919f12c160,15,ConsoleError
code-creation,Builtin,3,6229,0x1b919f12c1c0,15,ConsoleInfo
code-creation,Builtin,3,6240,0x1b919f12c220,15,ConsoleLog
code-creation,Builtin,3,6251,0x1b919f12c280,15,ConsoleWarn
code-creation,Builtin,3,6263,0x1b919f12c2e0,15,ConsoleDir
code-creation,Builtin,3,6274,0x1b919f12c340,15,ConsoleDirXml
code-creation,Builtin,3,6286,0x1b919f12c3a0,15,ConsoleTable
code-creation,Builtin,3,6297,0x1b919f12c400,15,ConsoleTrace
code-creation,Builtin,3,6309,0x1b919f12c460,15,ConsoleGroup
code-creation,Builtin,3,6320,0x1b919f12c4c0,15,ConsoleGroupCollapsed
code-creation,Builtin,3,6332,0x1b919f12c520,15,ConsoleGroupEnd
code-creation,Builtin,3,6344,0x1b919f12c580,15,ConsoleClear
code-creation,Builtin,3,6355,0x1b919f12c5e0,15,ConsoleCount
code-creation,Builtin,3,6367,0x1b919f12c640,15,ConsoleCountReset
code-creation,Builtin,3,6378,0x1b919f12c6a0,15,ConsoleAssert
code-creation,Builtin,3,6390,0x1b919f12c700,15,ConsoleMarkTimeline
code-creation,Builtin,3,6402,0x1b919f12c760,15,ConsoleProfile
code-creation,Builtin,3,6413,0x1b919f12c7c0,15,ConsoleProfileEnd
code-creation,Builtin,3,6425,0x1b919f12c820,15,ConsoleTimeline
code-creation,Builtin,3,6437,0x1b919f12c880,15,ConsoleTimelineEnd
code-creation,Builtin,3,6449,0x1b919f12c8e0,15,ConsoleTime
